pm10,so2,co,o3,no2,kategori
51,17,24,96,6,SEDANG
73,18,37,76,7,SEDANG
49,18,21,64,3,SEDANG
52,19,17,74,6,SEDANG
53,19,25,95,5,SEDANG
55,20,20,79,5,SEDANG
53,20,19,46,4,SEDANG
42,22,18,91,8,SEDANG
42,20,23,73,6,SEDANG
64,19,33,66,6,SEDANG
58,20,24,71,5,SEDANG
40,19,21,67,5,SEDANG
40,21,19,88,11,SEDANG
51,23,19,136,6,TIDAK SEHAT
51,21,19,105,8,TIDAK SEHAT
55,21,20,87,5,SEDANG
64,20,27,57,9,SEDANG
32,17,16,49,3,BAIK
37,17,19,12,3,BAIK
53,19,27,43,5,SEDANG
52,19,21,56,4,SEDANG
50,19,28,101,5,TIDAK SEHAT
56,20,24,150,5,TIDAK SEHAT
44,18,18,81,3,SEDANG
28,18,21,60,4,SEDANG
52,19,27,71,5,SEDANG
48,19,22,102,5,TIDAK SEHAT
54,26,27,125,6,TIDAK SEHAT
,,32,,,BAIK
59,22,27,80,5,SEDANG
46,20,22,79,9,SEDANG
48,21,20,128,5,TIDAK SEHAT
30,20,19,141,5,TIDAK SEHAT
40,19,17,18,2,BAIK
27,19,18,20,2,BAIK
28,20,15,18,2,BAIK
20,18,16,19,2,BAIK
19,18,16,21,2,BAIK
23,19,16,28,3,BAIK
29,21,23,18,4,BAIK
27,21,21,19,3,BAIK
39,20,18,20,3,BAIK
33,19,17,27,3,BAIK
27,20,15,25,2,BAIK
30,19,18,29,4,BAIK
28,20,19,78,6,SEDANG
35,22,19,40,4,BAIK
25,20,17,16,2,BAIK
24,20,25,21,2,BAIK
27,19,24,16,1,BAIK
10,20,20,31,4,BAIK
51,23,22,18,2,SEDANG
33,20,18,29,2,BAIK
17,23,17,25,2,BAIK
27,21,19,31,4,BAIK
33,21,18,30,3,BAIK
30,21,22,28,3,BAIK
28,20,26,25,3,BAIK
34,21,21,35,3,BAIK
24,21,18,34,2,BAIK
20,19,14,22,2,BAIK
16,20,14,33,2,BAIK
22,21,15,27,3,BAIK
31,23,17,35,3,BAIK
35,24,21,45,4,BAIK
49,23,18,54,3,SEDANG
38,23,21,30,4,BAIK
52,21,11,61,11,SEDANG
27,18,5,40,15,BAIK
32,18,7,55,10,SEDANG
23,19,0,61,15,SEDANG
28,16,6,57,12,SEDANG
29,17,11,62,13,SEDANG
31,18,11,55,20,SEDANG
28,19,7,52,14,SEDANG
25,18,6,48,11,BAIK
42,23,11,83,16,SEDANG
33,18,11,65,20,SEDANG
29,18,12,65,19,SEDANG
25,17,8,29,5,BAIK
21,16,8,29,6,BAIK
13,17,8,42,7,BAIK
17,17,7,34,6,BAIK
18,18,30,48,14,BAIK
22,18,5,30,6,BAIK
40,23,9,39,10,BAIK
37,18,7,32,11,BAIK
31,20,0,51,12,SEDANG
32,22,7,34,15,BAIK
26,20,7,34,15,BAIK
25,21,0,47,13,BAIK
34,22,10,49,14,BAIK
26,22,9,49,10,BAIK
31,20,5,48,10,BAIK
22,21,11,38,9,BAIK
32,21,11,32,18,BAIK
27,21,13,36,12,BAIK
37,22,18,36,16,BAIK
37,21,19,45,13,BAIK
20,20,9,38,7,BAIK
21,18,5,37,5,BAIK
22,18,6,34,7,BAIK
25,19,6,33,8,BAIK
25,19,0,28,12,BAIK
35,18,11,41,14,BAIK
28,17,11,44,12,BAIK
30,18,14,43,11,BAIK
25,16,5,44,12,BAIK
33,18,11,53,12,SEDANG
37,18,17,47,14,BAIK
21,18,10,46,12,BAIK
22,18,11,46,11,BAIK
29,21,18,50,15,BAIK
51,20,14,36,13,SEDANG
54,19,25,36,11,SEDANG
35,17,16,31,11,BAIK
57,25,31,65,17,SEDANG
47,27,13,130,21,TIDAK SEHAT
53,26,22,96,16,SEDANG
74,40,22,70,21,SEDANG
39,19,15,90,26,SEDANG
59,27,15,67,13,SEDANG
29,21,12,50,13,BAIK
46,21,22,48,15,BAIK
52,18,17,67,18,SEDANG
55,20,22,0,18,SEDANG
47,17,20,0,19,BAIK
30,17,13,0,9,BAIK
47,18,19,0,16,BAIK
30,15,10,60,12,SEDANG
31,18,9,55,12,SEDANG
30,18,16,67,26,SEDANG
51,24,12,119,16,TIDAK SEHAT
77,52,20,41,17,SEDANG
66,32,15,60,17,SEDANG
53,19,19,54,17,SEDANG
51,18,15,81,24,SEDANG
66,25,13,74,25,SEDANG
41,17,11,30,17,BAIK
45,20,10,136,12,TIDAK SEHAT
80,38,23,83,24,SEDANG
50,20,20,64,23,SEDANG
47,23,16,84,20,SEDANG
32,15,11,48,7,BAIK
41,17,17,22,12,BAIK
41,21,13,37,14,BAIK
48,28,16,29,19,BAIK
74,19,54,123,19,TIDAK SEHAT
52,18,16,56,13,SEDANG
46,14,17,46,10,BAIK
49,25,13,37,20,BAIK
68,23,18,85,16,SEDANG
54,23,21,77,11,SEDANG
38,16,12,47,17,BAIK
24,16,8,26,8,BAIK
39,17,12,110,10,TIDAK SEHAT
51,19,20,96,15,SEDANG
33,16,14,59,24,SEDANG
40,17,24,150,19,TIDAK SEHAT
36,15,18,51,15,SEDANG
23,15,7,25,6,BAIK
27,17,8,45,14,BAIK
23,15,6,24,6,BAIK
22,15,4,29,13,BAIK
65,23,18,113,21,TIDAK SEHAT
66,29,14,132,29,TIDAK SEHAT
52,29,12,89,17,SEDANG
48,24,10,65,14,SEDANG
50,19,9,44,16,BAIK
59,37,16,40,10,SEDANG
58,26,21,77,26,SEDANG
76,54,24,68,15,SEDANG
69,26,13,113,17,TIDAK SEHAT
73,38,19,124,15,TIDAK SEHAT
59,45,21,140,20,TIDAK SEHAT
58,17,16,102,14,TIDAK SEHAT
63,17,17,50,20,SEDANG
46,20,16,55,15,SEDANG
63,28,17,53,19,SEDANG
67,38,27,32,16,SEDANG
41,20,7,37,10,BAIK
54,19,24,64,25,SEDANG
52,26,16,88,24,SEDANG
51,30,14,48,14,SEDANG
56,23,17,139,14,TIDAK SEHAT
63,33,16,74,17,SEDANG
53,27,19,76,31,SEDANG
62,30,29,67,18,SEDANG
51,21,17,67,23,SEDANG
49,23,15,58,16,SEDANG
56,48,15,44,20,SEDANG
49,21,21,56,14,SEDANG
53,20,20,47,13,SEDANG
68,37,19,44,17,SEDANG
67,25,15,42,15,SEDANG
68,22,24,125,17,TIDAK SEHAT
75,29,11,115,18,TIDAK SEHAT
59,24,13,70,12,SEDANG
53,20,8,73,22,SEDANG
75,43,10,61,16,SEDANG
73,26,10,67,15,SEDANG
69,22,9,80,15,SEDANG
66,19,8,73,12,SEDANG
67,19,15,89,14,SEDANG
76,34,10,65,16,SEDANG
58,23,12,60,13,SEDANG
59,22,7,69,12,SEDANG
64,25,13,92,16,SEDANG
73,33,13,85,15,SEDANG
74,28,10,69,15,SEDANG
72,35,15,151,12,TIDAK SEHAT
78,31,11,105,16,TIDAK SEHAT
59,27,6,51,11,SEDANG
53,37,8,30,7,SEDANG
56,27,18,39,15,SEDANG
51,26,12,31,12,SEDANG
24,20,11,25,11,BAIK
61,32,15,42,15,SEDANG
61,25,9,53,10,SEDANG
61,31,25,72,17,SEDANG
74,50,15,61,17,SEDANG
50,,,,,BAIK
54,25,7,42,14,SEDANG
62,27,7,34,12,SEDANG
64,32,9,39,12,SEDANG
66,33,8,55,13,SEDANG
63,34,14,78,16,SEDANG
56,28,9,53,14,SEDANG
69,38,15,54,13,SEDANG
53,26,16,87,19,SEDANG
67,26,11,54,14,SEDANG
57,25,7,44,9,SEDANG
59,26,6,48,13,SEDANG
50,23,12,93,12,SEDANG
55,33,10,120,12,TIDAK SEHAT
54,29,6,140,11,TIDAK SEHAT
67,35,12,51,15,SEDANG
68,27,15,49,14,SEDANG
76,34,17,38,12,SEDANG
56,30,6,36,7,SEDANG
46,30,17,34,10,BAIK
21,23,,34,4,BAIK
18,28,5,34,4,BAIK
44,28,21,36,10,BAIK
29,30,10,46,8,BAIK
24,24,8,63,6,SEDANG
38,27,11,47,9,BAIK
50,25,5,46,10,BAIK
45,26,5,54,10,SEDANG
58,28,6,45,11,SEDANG
64,25,8,82,11,SEDANG
57,30,8,87,18,SEDANG
76,30,13,143,14,TIDAK SEHAT
83,29,25,108,22,TIDAK SEHAT
55,27,6,63,9,SEDANG
35,26,12,73,11,SEDANG
50,30,15,69,17,SEDANG
50,28,10,92,16,SEDANG
55,29,12,94,12,SEDANG
68,30,14,79,15,SEDANG
73,30,18,47,16,SEDANG
67,31,16,90,16,SEDANG
58,35,11,120,14,TIDAK SEHAT
76,33,20,80,21,SEDANG
87,37,16,95,19,SEDANG
67,39,12,62,12,SEDANG
58,32,11,145,21,TIDAK SEHAT
67,36,11,94,16,SEDANG
57,31,11,51,13,SEDANG
68,38,21,70,19,SEDANG
58,32,9,65,11,SEDANG
68,44,10,61,11,SEDANG
65,34,9,112,15,TIDAK SEHAT
58,32,7,84,15,SEDANG
44,30,,45,12,BAIK
61,37,20,66,17,SEDANG
51,30,,123,12,TIDAK SEHAT
57,33,9,76,16,SEDANG
58,37,10,60,15,SEDANG
47,32,8,86,11,SEDANG
54,35,9,66,14,SEDANG
62,39,12,88,15,SEDANG
67,39,10,84,13,SEDANG
71,34,9,60,15,SEDANG
74,40,8,74,14,SEDANG
68,34,19,153,17,TIDAK SEHAT
58,34,10,96,18,SEDANG
61,33,12,86,14,SEDANG
58,34,6,87,13,SEDANG
60,34,9,67,9,SEDANG
66,34,15,112,18,TIDAK SEHAT
88,46,20,100,23,SEDANG
63,37,10,76,16,SEDANG
64,38,11,101,15,TIDAK SEHAT
65,39,6,58,10,SEDANG
59,36,6,57,11,SEDANG
50,33,7,69,6,SEDANG
,43,,,,BAIK
,45,,,,BAIK
,47,,,,BAIK
60,37,13,57,,SEDANG
70,43,,,,SEDANG
62,38,7,61,,SEDANG
64,47,11,52,,SEDANG
64,42,10,44,,SEDANG
70,51,11,91,,SEDANG
54,38,8,45,,SEDANG
58,39,8,81,,SEDANG
54,36,4,55,10,SEDANG
57,39,7,65,12,SEDANG
65,37,11,55,13,SEDANG
65,40,11,151,15,TIDAK SEHAT
57,37,8,92,12,SEDANG
60,37,11,56,19,SEDANG
59,40,5,59,16,SEDANG
69,49,5,59,15,SEDANG
56,43,5,52,13,SEDANG
53,40,9,99,12,SEDANG
65,45,15,85,18,SEDANG
59,40,10,58,18,SEDANG
59,46,17,145,21,TIDAK SEHAT
64,46,12,95,17,SEDANG
69,48,17,85,23,SEDANG
56,,10,66,11,SEDANG
54,,6,76,13,SEDANG
53,,5,48,11,SEDANG
52,,5,68,10,SEDANG
53,,4,68,8,SEDANG
58,,7,66,18,SEDANG
61,,10,109,11,TIDAK SEHAT
70,46,16,128,19,TIDAK SEHAT
59,42,10,103,16,TIDAK SEHAT
63,43,15,100,18,SEDANG
65,51,16,71,17,SEDANG
44,40,10,30,15,BAIK
62,45,34,121,18,TIDAK SEHAT
58,44,10,124,14,TIDAK SEHAT
56,52,14,44,17,SEDANG
49,42,13,81,12,SEDANG
57,51,18,39,15,SEDANG
58,52,23,65,20,SEDANG
53,50,12,60,22,SEDANG
69,51,12,50,17,SEDANG
55,46,6,41,13,SEDANG
55,43,14,81,14,SEDANG
43,44,10,56,14,SEDANG
54,46,16,66,15,SEDANG
60,43,24,72,24,SEDANG
58,48,13,80,19,SEDANG
57,49,17,79,23,SEDANG
57,45,21,110,24,TIDAK SEHAT
50,45,10,93,19,SEDANG
52,47,4,90,11,SEDANG
41,46,8,84,18,SEDANG
42,48,10,134,18,TIDAK SEHAT
51,49,7,98,16,SEDANG
53,51,16,40,20,SEDANG
49,47,20,94,22,SEDANG
,50,40,78,27,SEDANG
,50,15,59,14,SEDANG
,52,12,67,15,SEDANG
,50,13,93,28,SEDANG
,51,12,60,19,SEDANG
52,50,12,68,17,SEDANG
34,47,11,72,13,SEDANG
60,52,17,74,19,SEDANG
61,51,36,67,20,SEDANG
53,48,19,66,20,SEDANG
50,46,12,83,16,SEDANG
59,50,11,80,15,SEDANG
70,51,15,138,18,TIDAK SEHAT
60,50,10,108,12,TIDAK SEHAT
55,50,10,73,14,SEDANG
67,52,18,52,18,SEDANG
43,50,8,39,12,BAIK
36,52,9,25,9,SEDANG
57,52,22,39,20,SEDANG
45,49,11,75,16,SEDANG
51,51,15,69,18,SEDANG
,,14,,19,BAIK
49,48,12,66,19,SEDANG
53,53,18,61,22,SEDANG
40,53,12,79,29,SEDANG
59,54,11,101,19,TIDAK SEHAT
55,54,15,90,26,SEDANG
60,55,19,66,16,SEDANG
47,53,16,76,16,SEDANG
55,54,11,105,11,TIDAK SEHAT
43,53,8,106,14,TIDAK SEHAT
56,54,12,32,23,SEDANG
70,55,16,71,20,SEDANG
32,53,6,32,18,SEDANG
29,53,7,29,7,SEDANG
25,53,6,27,6,SEDANG
19,53,7,18,7,SEDANG
18,53,8,18,7,SEDANG
24,53,7,37,15,SEDANG
27,53,13,23,13,SEDANG
17,49,8,17,8,BAIK
34,49,11,16,7,BAIK
31,49,9,29,7,BAIK
22,50,6,29,5,BAIK
25,50,8,38,7,BAIK
37,51,10,95,21,SEDANG
43,51,10,54,21,SEDANG
30,51,7,30,19,SEDANG
22,51,11,32,14,SEDANG
24,51,6,25,6,SEDANG
29,51,9,30,11,SEDANG
21,51,23,19,7,SEDANG
27,51,11,58,23,SEDANG
34,51,9,31,18,SEDANG
46,51,15,19,18,SEDANG
25,51,11,25,7,SEDANG
24,52,8,25,7,SEDANG
22,52,7,33,11,SEDANG
26,52,7,30,12,SEDANG
31,52,19,33,15,SEDANG
29,52,19,30,12,SEDANG
30,52,11,56,9,SEDANG
28,,10,43,7,BAIK
19,,5,31,4,BAIK
22,,4,30,5,BAIK
25,,6,34,11,BAIK
27,,5,30,18,BAIK
55,,15,34,16,SEDANG
50,,12,42,15,BAIK
47,32,14,43,14,BAIK
73,31,19,33,5,SEDANG
39,29,4,33,3,BAIK
51,30,7,36,3,SEDANG
45,33,7,63,7,SEDANG
54,30,16,68,9,SEDANG
34,30,9,65,8,SEDANG
48,31,5,62,4,SEDANG
37,31,10,52,5,SEDANG
30,31,6,68,4,SEDANG
54,32,21,66,9,SEDANG
40,30,13,54,9,SEDANG
22,30,7,32,3,BAIK
22,29,3,29,1,BAIK
23,29,4,29,1,BAIK
35,0,12,0,0,BAIK
41,0,0,0,0,BAIK
15,29,4,31,2,BAIK
26,29,7,30,4,BAIK
24,29,4,29,0,BAIK
27,30,5,30,4,BAIK
47,32,10,55,4,SEDANG
54,32,10,50,5,SEDANG
45,33,6,48,4,BAIK
0,0,5,0,0,BAIK
30,30,0,29,0,BAIK
39,32,7,53,3,SEDANG
57,33,13,60,8,SEDANG
41,31,10,44,4,BAIK
27,30,9,32,5,BAIK
30,31,14,54,2,SEDANG
32,31,8,41,4,BAIK
26,32,9,44,4,BAIK
24,31,8,37,4,BAIK
39,30,12,30,7,BAIK
14,30,3,24,0,BAIK
13,0,0,0,0,BAIK
13,0,0,0,0,BAIK
19,0,0,0,0,BAIK
26,31,4,33,0,BAIK
23,31,6,28,3,BAIK
16,31,5,40,3,BAIK
27,31,8,45,4,BAIK
34,30,13,43,7,BAIK
37,31,10,56,7,SEDANG
34,32,19,58,8,SEDANG
23,32,5,51,6,SEDANG
25,31,7,55,6,SEDANG
34,0,0,0,0,BAIK
44,0,0,0,0,BAIK
71,31,23,47,10,SEDANG
60,31,20,36,8,SEDANG
45,31,34,45,10,BAIK
56,34,20,76,8,SEDANG
43,32,13,112,9,TIDAK SEHAT
41,31,15,106,7,TIDAK SEHAT
48,31,9,69,5,SEDANG
39,31,14,123,11,TIDAK SEHAT
32,31,9,81,4,SEDANG
55,31,22,98,11,SEDANG
58,32,16,83,8,SEDANG
49,35,24,75,6,SEDANG
51,31,20,66,8,SEDANG
34,31,17,112,6,TIDAK SEHAT
48,32,16,107,9,TIDAK SEHAT
47,32,10,63,5,SEDANG
49,32,16,69,10,SEDANG
30,32,12,58,7,SEDANG
44,33,11,95,12,SEDANG
68,32,21,81,11,SEDANG
61,32,19,120,10,TIDAK SEHAT
61,32,21,84,9,SEDANG
65,32,19,71,12,SEDANG
62,34,11,46,5,SEDANG
61,33,8,40,5,SEDANG
49,34,8,76,4,SEDANG
69,34,11,76,11,SEDANG
51,32,9,58,6,SEDANG
47,40,11,53,9,SEDANG
53,42,24,65,11,SEDANG
66,50,44,125,8,TIDAK SEHAT
58,43,15,73,7,SEDANG
63,54,32,35,7,SEDANG
50,47,13,83,9,SEDANG
53,47,25,47,7,SEDANG
54,50,17,42,6,SEDANG
37,45,11,47,3,BAIK
31,38,4,34,2,BAIK
44,43,9,59,4,SEDANG
34,39,12,67,7,SEDANG
37,41,15,45,7,BAIK
48,33,16,35,7,BAIK
16,33,4,28,2,BAIK
24,33,4,33,2,BAIK
16,32,3,25,,BAIK
23,33,6,31,3,BAIK
37,35,16,45,10,BAIK
31,36,16,102,9,TIDAK SEHAT
21,34,9,110,11,TIDAK SEHAT
21,34,9,108,12,TIDAK SEHAT
31,34,15,81,8,SEDANG
34,34,12,82,7,SEDANG
46,34,17,91,6,SEDANG
33,38,11,92,7,SEDANG
55,35,15,91,9,SEDANG
58,38,14,113,6,TIDAK SEHAT
28,36,14,97,8,SEDANG
57,36,13,82,6,SEDANG
61,34,10,88,10,SEDANG
41,35,17,123,6,TIDAK SEHAT
46,36,8,95,12,SEDANG
68,35,18,82,8,SEDANG
44,34,9,51,7,SEDANG
49,34,15,65,5,SEDANG
47,35,8,58,6,SEDANG
39,35,10,34,5,BAIK
32,35,7,76,4,SEDANG
57,39,18,102,15,TIDAK SEHAT
39,33,16,85,5,SEDANG
52,34,27,112,10,TIDAK SEHAT
43,34,10,87,5,SEDANG
37,34,13,94,6,SEDANG
45,35,14,71,11,SEDANG
42,35,17,74,8,SEDANG
45,35,16,83,8,SEDANG
58,35,18,77,8,SEDANG
66,35,14,61,8,SEDANG
67,35,25,104,10,TIDAK SEHAT
87,35,18,117,9,TIDAK SEHAT
59,35,10,105,12,TIDAK SEHAT
60,35,9,92,6,SEDANG
66,38,13,115,11,TIDAK SEHAT
67,36,13,108,7,TIDAK SEHAT
78,35,14,93,11,SEDANG
61,34,7,72,10,SEDANG
97,35,24,120,9,TIDAK SEHAT
68,36,12,111,7,TIDAK SEHAT
61,36,9,89,7,SEDANG
59,37,7,98,9,SEDANG
62,35,9,88,8,SEDANG
76,38,11,102,11,TIDAK SEHAT
70,37,8,91,5,SEDANG
73,37,11,102,7,TIDAK SEHAT
78,37,9,164,9,TIDAK SEHAT
61,38,6,79,5,SEDANG
59,35,6,62,5,SEDANG
57,38,10,52,6,SEDANG
51,37,6,56,8,SEDANG
21,34,4,37,3,BAIK
